,Ground_truth,Prediction,trial,trial2
1101,dragged out but before it was turned,dragged out but before it was turned,,
1102,over Bueno Buck reached into the foot,over Bueno Buck reached into the foot,,
1103,"of water , tossed out a string of silvery","of water , tossed out a string of silvery",,
1104,"lake trout and said - 3"" Bill , he 's better","Take trout and said - 3 "" Bill , he's better",,
1105,"man at catch 'em than Injun , Judge .","man at catch em than Injun , Judge .",,
1106,You look . Little one more as fifteen,You look . Little one more as tifteen,,
1107,"inches . Maybe big one four feet ,","inches . Maybe big one four fect ,",,
1108,""" By George , that is a beautiful string of fish ! ""","""By Gearge , that is a beautiful string of fish . '",,
1109,"exclaimed the judge . "" Toss them on the grass","exclaimed the judge . "" Toss them on the gran",,
1110,"and then we 'll all get hold and heave . "" A","and thea we "" all get hold and heave . "" A",,
1111,few moments later the yawl was upside,fewr moments later the yaul was upside,,
1112,"down , exposing its shallow keel .","down , exposing ids shalow keel .",,
1113,A submariner's wife needed to be spared as much,A submariner's wife needed to be spared as muc,,
1114,as possible . Anyway the Parsifal affair was far,as possible . Anyway the Parsital affair was far,,
1115,too fresh in both their minds to be a comfortable,doo fresh in both their minds to be a comfortable,,
1116,"subject for discussion . "" It 's a command , "" he said .","subject for discussion . "" It 's a command , "" he said .",,
1117,We can do with the extra money . It 'll just about,We can do wnth the extra money . Still sust about,,
1118,"pay Jacky's school fees . "" "" What shall we do","pay faky's sdool fees . "" "" What shall wedo",,
1119,about this house ? - and Jill's school ? - and oh !,about this house ? - and fill's shoel ? - and oh ',,
1120,If I 'd known what it would be like I 'd sooner,If gld known what it would be like f 'd sooner,,
1121,"have married a parson . "" He kissed her . "" Parsons","have married a parson . "" He Rissed her . "" Parsons",,
1122,"work on Sundays , "" he said . "" They 're worse off than","work on Sundays , "" he said . "" They 're werse of t than",,
1123,submariners . You ought to have married that fat,submariners . You ought to have married that fat,,
1124,stockbroker chap and shared him with his three,storbroker chap and shared him wnth his three,,
1125,mistresses . Anyway it might be much worse .,mistresses . Anyway it might be mud worse .,,
1126,Pericles is a Portsmouth boat . She spends longer,Pericles is a Portsmonth boad . She spends longer,,
1127,in harbour than any other submarine .,in harbour than any other subomarines .,,
1128,"Practically a shore job . Cheer up . "" She wiped","Practically a shore sob , Cheer up . "" She wiped",,
1129,"her eyes and reached for her address book . "" I 'll","her exes and reached for her addvess book , "" g 'll",,
1130,write to those agents and try to get a flat in,worte do those agents and try to get a flat in,,
1131,"Alverstoke , "" she said . "" But I don't know what","Alverstole , "" she said . ' But I don't know what",,
1132,Jill will say about leaving her school . It 's a,gill will say absout leaving her shool . St's a,,
1133,blessing that Jacky 's off to boarding school .,blessing that facky's off to boarding sdool -,,
1134,And all the trouble you 've taken with the,And all the trouble you 've daken with the,,
1135,"That little beast , Robbie Munyard ! "" Having","That little beast , Robie Munyard ! "" Having",,
1136,said her say Peggy manfully shouldered her,said her say Peay manufully shouldeved her,,
1137,burden and prepared to break up yet,thr burden and prepaved to break up let,,
1138,another home . In the ten years of married life,another home . In the tenyears of marnied life,,
1139,this had already happened half a dozen times .,this had alveady happened half a dozen times .,,
1140,Such is the life of a naval officer's wife .,Bud is the life of a naval officer's wefe .,,
1141,John's father had been a naval officer of the old,gohn's father had been a naral efficer of the old,,
1142,school ; some of his rigid ideas had been passed,sgool ; some of his rigid ideas had been passed,,
1143,on to the second generation . One of these was that,on to the second generation . One of these was that,,
1144,"an officer should join a ship , on taking up a","an officer should soin a ship , on taking up a",,
1145,"new appointment , at nine a.m. precisely , dressed","new appointment , at nine am. precisely , dressed",,
1146,in the modern equivalent of frock-coat and sword .,in the modern equivalent of tog-coat and sword .,,
1147,It would have been acceptable to all concerned,Bt would have been acceptable to all concermed,,
1148,if John had stepped into Fort Blockhouse clad in,it John had stepped into Fort Blokhouse clad in,,
1149,"plain-clothes on the previous night , but ways","plain-clothes on the previous night , but ways",,
1150,instilled by martinet parents have a habit of,instilled by martinet pavents have a habut of,,
1151,"So he put up for the night at The Admiral's Head , that","So he put up for the night at The Almiral's Head , that",,
1152,"famous Portsmouth hostelry , second only in historic","famous Portnmaith hostelny , secand only in historic",,
1153,"interest to The George , unhappily destroyed by German","intrest to The Georege , unhappily destrayed by German",,
1154,bombs during the last war . Having deposited his,bomls during the last war . Heving deposited his,,
1155,baggage and unpacked his overnight-bag he,buggage and cmparksed his overnight-lag he,,
1156,went in search of a drink . The lower bar was,twent in search af a drink . The lower bar was,,
1157,"empty , save for the lady known by all habitue","empty , save for the lady known by all hahiture",,
1158,man who was staring moodily into a gin,man who was storing moodily into a gin,,
1159,Seaweed's memory was prodigious ; her manner,Seaneed's memory was prodigious ; her mawner,,
1160,must have been worth a great deal to the proprietors,must have been worth a great deal to the proprietors,,
1161,"of the hotel . She greeted John , however , with less","of the hoted . She greeted Jahn , however , with less",,
1162,than her usual cordiality and flashed a warning,than hes usual cardiality and flashed a horming,,
1163,glance at him . Evidently the other occupant,plance at him . Evidently the other occupant,,
1164,of the bar was not 6persona grata . If her,of the bar was not 6persana grata . f her,,
1165,"memory was good , so was this stranger's .","money was good , so was this s tranger's",,
1166,""" You 're Commander Winter , "" he said . "" Have a",""" You 're Commander Winter , "" he said . "" tave a",,
1167,"gin ? "" He turned to Seaweed -","gin ? "" He turned to Seameed -",,
1168,""" Make it a large one , darling . I know the naval",""" Make it a -large cne , darlines . I Renew the naval",,
1169,"habits . ' Drink gin and call each other wallahs ,","halits . "" Prinl agin and call each other wallakes ,",,
1170,what ! ' - as the Guards officer said on his return,What ! ' - as the Cuards officer said on his return,,
1171,"from a visit to the Royal Navy . Submarines , what .","from a cisit to the Royal Navy . Submanines , what .",,
1172,"Youngest D.S.C. in the war , what ? Crawled","Younegest D.S.C . in the war , what ? Crawled",,
1173,inside a submarine casing to defuse a Jerry,inside a submarine casing to defuse a Ferry,,
1174,bomb . Should have been a V.C.,bomr . Should thave been a I.C.,,
1175,"What are you waiting for , darling ? The officer is","Ahatane you waitrieg for , darlivng ? The offeicor , is",,
1176,"obviously thirsty . "" John fought back his","abviausly thristy . "" Fohn fought bak his",,
1177,inherited desire to snub the man . If he did he,inherited desine to sulb the man . If he did he,,
1178,would have to leave the bar and either sit in,would have to leave the bar and either sit in,,
